-7.2022302,9.0897563,6.0428283
-7.4020095,9.0929152,5.9289167
-7.6018796,9.0960679,5.8142748
-7.8017732,9.0992073,5.6989014
-8.0015946,9.1023256,5.5819658
-8.2014744,9.1054191,5.4642596
-8.4013234,9.1084803,5.3450361
-8.6011958,9.1115039,5.2241852
-8.8010258,9.1144850,5.1023638
-9.0009220,9.1174206,4.9777735
-9.2007830,9.1202948,4.8518203
-9.4006013,9.1230621,4.7240759
-9.6005491,9.1256353,4.5937359
-9.8003347,9.1278585,4.4622096
-10.0002164,9.1295373,4.3284213
-10.2001345,9.1304138,4.1934549
-10.3998870,9.1299586,4.0577408
-10.6000566,9.1274109,3.9213619
-10.7999766,9.1219210,3.7852721
-10.9993523,9.1125395,3.6495594
-11.1992909,9.0980792,3.5156038
-11.3979471,9.0774044,3.3829539
-11.5955441,9.0491207,3.2524330
-11.7925602,9.0115275,3.1253357
-11.9863687,8.9634136,3.0029562
-12.1760933,8.9033149,2.8875737
-12.3627005,8.8289301,2.8000483
-12.5421345,8.7401636,2.7310950
-12.7129960,8.6372852,2.6722975
-12.8747687,8.5215485,2.6094514
-13.0287543,8.3941917,2.5390185
-13.1746622,8.2580513,2.4665690
-13.3115284,8.1138513,2.3849696
-13.4369398,7.9593059,2.3769932
-13.5479452,7.7929893,2.4094613
-13.6415129,7.6154073,2.4423580
-13.7152063,7.4299766,2.5154184
-13.7712604,7.2389783,2.6469923
-13.8140570,7.0433261,2.7902370
-13.8465314,6.8453504,2.9267760
-13.8697431,6.6478430,3.0558848
-13.8854927,6.4480835,3.1832111
-13.8949431,6.2482150,3.3089023
-13.8993576,6.0488338,3.4340457
-13.8998793,5.8480938,3.5588339
-13.8974892,5.6488085,3.6821825
-13.8930093,5.4487174,3.8041754
-13.8871732,5.2487868,3.9243286
-13.8806134,5.0490829,4.0413681
-13.8738212,4.8489267,4.1571267
-13.8673045,4.6493688,4.2669868
-13.8615932,4.4494469,4.3748779
-13.8571440,4.2497351,4.4763955
-13.8540744,4.0498083,4.4813473
-13.8522986,3.8498850,4.3725662
-13.8515344,3.6497712,4.2537774
-13.8514862,3.4500444,4.1305068
-13.8518105,3.2496562,3.9987038
-13.8519458,3.0500521,3.8652842
-13.8511557,2.8497058,3.7274869
-13.8484484,2.6497322,3.5886726
-13.8426049,2.4502795,3.4486110
-13.8320296,2.2498359,3.3106624
-13.8151516,2.0515994,3.1745467
-13.7896905,1.8525515,3.0458636
-13.7536936,1.6555242,2.9290998
-13.7054996,1.4629972,2.8241397
-13.6420870,1.2722787,2.7537639
-13.5630146,1.0878246,2.6961647
-13.4691438,0.9118959,2.6397526
-13.3623199,0.7445777,2.5816427
